# %ECSV 0.9
# ---
# delimiter: ','
# datatype:
# - {name: srcname   , unit: latex   , datatype: string    , description: Source name                                          }
# - {name: t         , unit: mjd     , datatype: float32 , description: Time of measurement                                  }
# - {name: t_wlo     , unit: d    , datatype: float32 , description: Lower width of time bin                                 }
# - {name: t_wup     , unit: d    , datatype: float32 , description: Upper width of time bin                                 }
# - {name: t_exp     , unit: s    , datatype: float32 , description: Exposure time                                           }
# - {name: flux     , unit: cm-2 s-1, datatype: float32 , description: Flux measured above the energy threshold              }
# - {name: flux_elo , unit: cm-2 s-1, datatype: float32 , description: Lower uncertainty of flux                             }
# - {name: flux_eup , unit: cm-2 s-1, datatype: float32 , description: Upper uncertainty of flux                             }
# - {name: eth_lo      , unit: keV,      datatype: float32 , description: Assumed lower energy threshold for integral flux calculation}
# - {name: eth_up      , unit: keV,      datatype: float32 , description: Assumed upper energy threshold for integral flux calculation}
# - {name: instrument, unit: latex   , datatype: string    , description: Instrument                                           }
# - {name: dataformat, unit: latex   , datatype: string    , description: Data Format                                          }
# - {name: comments  , unit: latex   , datatype: string    , description: Comments                                             }
# meta: !!omap
# - {Filename: magic_template_lc.ecsv}
# - {Source: "VER 0521+211"}
# - {Figure: "Figure 1, long term MWL light curve, panel 3"}
# - {Title: "Time-dependent modelling of short-term variability in the TeV-blazar VER J0521+211 during the major flare in 2020"}
# - {Comments: ""}
# - {Reference: "magic_2025a.yaml"}
# - {Status: "Checked"}

srcname, t, t_wlo, t_wup, t_exp, flux, flux_elo, flux_eup, eth_lo, eth_up, instrument, dataformat, comments
VER 0521+211, 57306.44683, , , 1038.9, 2.91E-11, 1.92E-12, 1.92E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57315.36107, , , 1203.7, 1.41E-11, 2.16E-12, 2.16E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57315.36107, , , 1203.7, 2.20E-11, 2.14E-12, 2.14E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57340.2765, , , 1053.9, 1.66E-11, 1.62E-12, 1.62E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57340.2765, , , 1053.9, 2.27E-11, 1.80E-12, 1.80E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57363.22014, , , 936.5, 1.08E-11, 1.52E-12, 1.52E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57363.22014, , , 936.5, 1.49E-11, 1.57E-12, 1.57E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57421.13713, , , 973.9, 4.11E-12, 8.72E-13, 8.72E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57421.13713, , , 973.9, 5.80E-12, 8.59E-13, 8.59E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57428.18064, , , 993.9, 3.93E-12, 1.03E-12, 1.03E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57428.18064, , , 993.9, 6.32E-12, 1.02E-12, 1.02E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57728.28259, , , 951.5, 3.12E-12, 7.21E-13, 7.21E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57728.28259, , , 951.5, 4.69E-12, 8.01E-13, 8.01E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57777.11838, , , 1093.8, 2.25E-12, 4.95E-13, 4.95E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57777.11838, , , 1093.8, 2.69E-12, 6.24E-13, 6.24E-13, 2, 10, Swift-XRT, , 
VER 0521+211, 57777.11838, , , 1093.8, 3.26E-12, 5.07E-13, 5.07E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 57777.11838, , , 1093.8, 3.93E-12, 6.42E-13, 6.42E-13, 0.3, 10, Swift-XRT, , 
VER 0521+211, 57808.1517, , , 973.9, 1.07E-12, 4.02E-13, 4.02E-13, 2, 10, Swift-XRT, , 
VER 0521+211, 57808.1517, , , 973.9, 1.66E-12, 5.25E-13, 5.25E-13, 0.3, 10, Swift-XRT, , 
VER 0521+211, 57829.02265, , , 1196.2, 7.97E-13, 3.05E-13, 3.05E-13, 2, 10, Swift-XRT, , 
VER 0521+211, 57829.02265, , , 1196.2, 1.36E-12, 3.60E-13, 3.60E-13, 0.3, 10, Swift-XRT, , 
VER 0521+211, 58027.44482, , , 978.9, 1.78E-12, 4.84E-13, 4.84E-13, 2, 10, Swift-XRT, , 
VER 0521+211, 58027.44482, , , 978.9, 2.61E-12, 4.61E-13, 4.61E-13, 0.3, 10, Swift-XRT, , 
VER 0521+211, 58046.37384, , , 929, 1.80E-12, 6.01E-13, 6.01E-13, 2, 10, Swift-XRT, , 
VER 0521+211, 58046.37384, , , 929, 2.48E-12, 5.30E-13, 5.30E-13, 0.3, 10, Swift-XRT, , 
VER 0521+211, 58057.93148, , , 1036.4, 1.66E-12, 4.09E-13, 4.09E-13, 2, 10, Swift-XRT, , 
VER 0521+211, 58057.93148, , , 1036.4, 2.39E-12, 4.93E-13, 4.93E-13, 0.3, 10, Swift-XRT, , 
VER 0521+211, 58100.36978, , , 986.4, 8.20E-13, 3.64E-13, 3.64E-13, 2, 10, Swift-XRT, , 
